"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" não está disponível na quantidade solicitada. %s dos itens será backordered."
"%s is available for purchase in increments of %s only.","%s está disponível para compra em incrementos de %s apenas."
"%s is not a correct comparsion method.","%s Não é um método de comparação correta."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> que essas configurações são aplicáveis ao carrinho itens de linha, não o carro inteiro."
"Add Minimum Qty","Adicionar Qty mínimo"
"Allow Qty Below 0","Permitir Qty abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir Qty abaixo de 0 e notificar o cliente"
"Automatically Return Credit Memo Item to Stock","Crédito automaticamente retorno Memo Item de estoque"
Backorders,"Ordens pendentes"
"By Fixed value","Por valor fixo"
"By Percentage","Por porcentagem"
"Cannot specify product identifier for the order item.","Não é possível especificar o identificador do produto para o item da ordem."
"Catalog Inventory","Inventário de catálogo"
"Decrease Stock When Order is Placed","Diminuir estoque quando encomenda"
"Display Out of Stock Products","Exposição de produtos conservados em estoque"
"Display products availability in stock in the frontend","Exibir a disponibilidade de produtos em estoque no frontend"
"Enable Qty Increments","Habilitar Qty incrementos"
"In Stock","Em estoque"
"Index Product Stock Status","Status das ações do índice produto"
Inventory,Inventário
"Inventory API","API de inventário"
"Inventory Section","Seção de estoque"
"Manage Stock","Gerenciar estoque"
"Maximum Qty Allowed in Shopping Cart","Qtd máxima permitida no carrinho de compras"
"Minimum Qty","Qty mínima"
"Minimum Qty Allowed in Shopping Cart","Qty mínima permitida no carrinho de compras"
"Multi update product stock data","Multi atualizar dados de estoque produto"
"No Backorders","Sem ordens pendentes"
"Not all products are available in the requested quantity","Nem todos os produtos estão disponíveis na quantidade solicitada"
"Notify for Quantity Below","Informe a quantidade abaixo"
"Only X left Threshold","Apenas X deixada o limiar"
"Out of Stock","Fora de estoque"
"Product Stock Options","Produto Stock Options"
"Products will still be shown by direct product URLs.","Produtos serão mostrados ainda pelo produto direto URLs."
"Qty Increments","Qty incrementos"
"Qty for Item's Status to Become Out of Stock","Qty para o Status do Item tornar-se fora de estoque"
"Retrieve stock data","Recuperar dados do estoque"
"Retrieve stock data by product ids","Recuperar dados do estoque por identificações de produto"
"Rule price","Preço de regra"
"Set Items' Status to be In Stock When Order is Cancelled","Definir Status dos itens para ser que em estoque quando ordem é cancelada"
"Some of the products are currently out of stock.","Alguns dos produtos estão fora de estoque."
"Some of the products cannot be ordered in requested quantity.","Alguns dos produtos não podem ser encomendados na quantidade solicitada."
"Some of the products cannot be ordered in the requested quantity.","Alguns dos produtos não podem ser encomendados na quantidade solicitada."
"Stock Options","Opções de ações"
"Stock Status","Status das ações"
"The maximum quantity allowed for purchase is %s.","A quantidade máxima permitida para compra é %s."
"The minimum quantity allowed for purchase is %s.","A quantidade mínima permitida para compra é %s."
"The requested quantity for ""%s"" is not available.","A quantidade solicitada para ""%s"" não está disponível."
"The stock item for Product in option is not valid.","O item de estoque por produto na opção não é válido."
"The stock item for Product is not valid.","O item de estoque para o produto não é válido."
"This product is available for purchase in increments of %s only.","Este produto está disponível para compra em incrementos de %s apenas."
"This product is currently out of stock.","Este produto está atualmente fora de estoque."
"This product is not available in the requested quantity. %s of the items will be backordered.","Este produto não está disponível na quantidade solicitada. %s dos itens será backordered."
"To Fixed Value","Valor fixo"
"To Percentage","A percentagem"
"Undefined product type.","Tipo de produto indefinido."
Update,Atualização
"Update product stock data","Atualizar dados de estoque do produto"
"Update the Product","Atualização do produto"
