"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras de preço de carrinho de compras com base na ""%s"" atributo foram desativados."
"%s Coupon(s) have been generated","%s Eventualidade foram geradas"
Actions,Ações
Active,Ativo
"Add New Rule","Adicionar nova regra"
Alphabetical,"Em ordem alfabética"
Alphanumeric,Alfanumérico
"An error occurred while generating coupons. Please review the log and try again.","Ocorreu um erro ao gerar cupons. Por favor, revise o log e tente novamente."
Apply,Aplicar
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra somente ao carrinho itens correspondentes as seguintes condições (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra ao carrinho itens correspondentes as seguintes condições"
"Apply to Shipping Amount","Aplicar a quantidade de envio"
"Are you sure you want to delete the selected coupon(s)?","Tem certeza que deseja excluir a eventualidade selecionada?"
Auto,Automático
"Auto Generated Specific Coupon Codes","Auto gerado específico cupom códigos"
"Buy X get Y free (discount amount is Y)","Comprar X obter Y gratuito (valor do desconto é Y)"
"By Fixed value","Por valor fixo"
"By Percentage","Por porcentagem"
"Can\'t acquire coupon.","Can\ ' t adquirir o cupom."
"Cart Attribute","Atributo de carrinho"
Catalog,Catálogo
"Code Format","Formato de código"
"Code Length","Comprimento do código"
"Code Prefix","Prefixo do código"
"Code Suffix","Sufixo de código"
Conditions,Condições
"Conditions combination","Combinação de condições"
Coupon,Cupom
"Coupon Code","Código de cupom"
"Coupon Qty","Qtde de cupom"
"Coupon with the same code","Cupom com o código da mesmo"
"Coupons Information","Informações de cupons"
"Created On","Criado na"
"Customer Groups","Grupos de clientes"
"Dash Every X Characters","Traço todos os personagens de X"
"Date Expire","Data de expiração"
"Date Start","Data de início"
"Default Label","Rótulo padrão"
"Default Rule Label for All Store Views","Rótulo de regra padrão para loja All Views"
Description,Descrição
"Discount Amount","Desconto de quantidade"
"Discount Qty Step (Buy X)","Desconto Qty passo (comprar X)"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra ' %s'"
"Excluding prefix, suffix and separators.","Excluindo prefixo, sufixo e separadores."
FOUND,ENCONTRADO
