"%s - Discounts and Coupons","%s-Descontos e cupons"
"%s - Special Products","%s-Produtos especiais"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s atingiu uma quantidade de %s."
"%s\'s Wishlist","%s\'s Wishlist"
"Cannot retrieve the wishlist","Não é possível recuperar a lista de desejos"
Catalog,Catálogo
"Category Feeds","Categoria Feeds"
"Click for price","Clique para preço"
"Comment: %s<br/>","Comentário: %s <br/>"
Coupons/Discounts,Cupons/descontos
"Current Status: %s<br/>","Status atual: %s <br/>"
"Customer Name: %s","Nome do cliente: %s"
"Customer Order Status Notification","Notificação de Status de ordem de cliente"
"Details for %s #%s","Detalhes para %s #%s"
Discount,Desconto
"Discount (%s)","Desconto (%s)"
"Enable RSS","Ativar RSS"
"Error in processing xml. %s","Erro no processamento de xml. %s"
From:,De:
"Get Feed","Se alimentar"
"Gift Message","Mensagem de Dom"
"Grand Total","Total geral"
"Low Stock Products","Produtos de estoque baixos"
Message:,Mensagem:
"Miscellaneous Feeds","Diversos Feeds"
"New Orders","Novas ordens"
"New Products","Novos produtos"
"New Products from %s","Novos produtos da %s"
"Notified Date: %s<br/>","Notificado Data: %s <br/>"
"Order # %s Notification(s)","Ordem # %s notificação (ões)"
"Order #%s created at %s","Ordem #%s criado em %s"
"Pending product review(s)","Análises de produto pendente"
"Product: ""%s"" review By: %s","Produto: ""%s"" revisão por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produto: <a href=""%s""> %s</a> <br/>"
"Products tagged with %s","Produtos marcados com %s"
"Purchased From: %s","Comprados: %s"
RSS,RSS
"RSS Feeds","RSS Feeds"
"RSS Feeds List","Lista de Feeds RSS"
"RSS Feeds Section","Seção de Feeds RSS"
"Review: %s <br/>","Revisão: %s <br/>"
"Rss Config","RSS Config"
"Shipping &amp; Handling","Transporte e manuseio"
"Special Products","Produtos especiais"
"Store: %s <br/>","Loja: %s <br/>"
Subtotal,Subtotal
"Summary of review: %s <br/>","Resumo de revisão: %s <br/>"
"Tags Products","Tags de produtos"
Tax,Fiscal
"There are no Rss Feeds","Não há nenhum Rss Feeds"
To:,Para:
"Top Level Category","Categoria de nível superior"
"Total: %s<br/>","Total: %s <br/>"
Wishlist,"Lista de desejos"
"click <a href=""%s"">here</a> to view the review","Clique <a href=""%s""> aqui</a> para ver a revisão"
