ALL,"TODOS OS"
ANY,QUALQUER
Add,Adicionar
Apply,Aplicar
"Conditions Combination","Combinação de condições"
"Customer Groups must be specified.","Grupos de clientes devem ser especificados."
"End Date must be greater than Start Date.","Data de fim deve ser maior que a data de início."
FALSE,FALSO
"If %s of these conditions are %s:","Se %s dessas condições são %s:"
"Invalid discount amount.","Valor do desconto inválido."
"Open Chooser","Seletor aberto"
"Perform following actions","Executar a sequência de ações"
"Please choose a condition to add...","Por favor, escolha uma condição para adicionar..."
"Please choose an action to add...","Por favor, escolha uma ação para adicionar..."
Remove,Remover
TRUE,VERDADE
"There is no information about associated entity type ""%s"".","Não há nenhuma informação sobre o tipo de entidade associada ""%s""."
"Websites must be specified.","Sites devem ser especificados."
by,por
contains,contém
"does not contain","Não contém"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"greater than","maior que"
is,é
"is not","Não é"
"is not one of","Não é um dos"
"is one of","é um dos"
"less than","menos de"
to,Para
