"--Please Select--","-- Por favor selecione..."
"API Login ID","API Login ID"
"Accepted Currency","Moeda aceite"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Número de verificação de cartão"
"Card Verification Number Visual Reference","Verificação de cartão número referência Visual"
Close,Fechar
"Credit Card Information","Informações de cartão de crédito"
"Credit Card Number","Número de cartão de crédito"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Types","Tipos de cartão de crédito"
"Credit Card Verification","Verificação do cartão de crédito"
Debug,Depurar
"Email Customer","Cliente de e-mail"
Enabled,Habilitado
"Expiration Date","Data de validade"
"Gateway URL","URL de gateway"
"Maximum Order Total","Total máximo de ordem"
"Merchant MD5","Comerciante MD5"
"Merchant's Email","E-mail do comerciante"
"Minimum Order Total","Ordem mínima Total"
"New Order Status","Novo Status do pedido"
"Order saving error: %s","Ordem, salvando o erro: %s"
"Payment Action","Ação de pagamento"
"Payment authorization error.","Erro de autorização de pagamento."
"Payment authorization error. Transacion id is empty.","Erro de autorização de pagamento. Transacion id é vazio."
"Payment error. Order was not found.","Erro de pagamento. Ordem não foi encontrado."
"Payment error. Paid amount doesn\'t match the order amount.","Erro de pagamento. Pago a montante doesn\ ' t coincidir com a quantidade da ordem."
"Payment from Applicable Countries","Pagamento de países aplicáveis"
"Payment from Specific Countries","Pagamento de países específicos"
"Please, choose payment method","Por favor, escolha o método de pagamento"
"Response hash validation failed. Transaction declined.","Falha na validação do hash de resposta. Transação declinou."
"Sort Order","Ordem de classificação"
"Test Mode","Modo de teste"
"The order has been created.","A ordem foi criada."
"There was an error processing your order. Please contact us or try again later.","Houve um erro ao processar sua ordem. Por favor, entre em contato conosco, ou tente novamente mais tarde."
Title,Título
"Transaction Key","Chave de transação"
"What is this?","O que é isto?"
"You will be required to enter your payment details before you place an order.","Você deverá inserir os seus dados de pagamento antes de colocar uma ordem."
