"Alert Email Sender","Alerta de E-mail remetente"
"Alert subscription has been saved.","Subscrição alerta foi salvo."
"Allow Alert When Product Comes Back in Stock","Permitir que alerta quando o produto volta em estoque"
"Allow Alert When Product Price Changes","Permitir que alerta quando alterações de preço de produto"
"Click here not to receive alerts for this product","Clique aqui para receber alertas para este produto não"
"Error Email Recipient","Destinatário de erro de E-mail"
"Error Email Sender","Erro E-mail remetente"
"Error Email Template","Modelo de Email erro"
Frequency,Freqüência
"Not enough parameters.","Parâmetros não suficientes."
"Price Alert Email Template","Modelo de E-mail alerta de preço"
Price:,Preço:
"Product Alerts","Alertas de produto"
"Product Alerts Run Settings","Alertas de produto executar configurações"
"Product alerts Cron error","Erro de Cron de alertas do produto"
"Product price alert","Alerta de preço de produto"
"Product stock alert","Alerta de estoque do produto"
"Regular Price:","Preço normal:"
"Sign up for price alert","Cadastre-se para alerta de preço"
"Sign up to get notified when this product is back in stock","Cadastre-se para ser notificado quando este produto está em estoque"
"Special price:","Preço especial:"
"Start Time","Hora de início"
"Stock Alert Email Template","Modelo de estoque alerta Email"
"The alert subscription has been deleted.","A inscrição de alerta foi Excluídoda."
"The alert subscription has been saved.","A inscrição de alerta foi salvo."
"The product is not found.","O produto não for encontrado."
"The product was not found.","O produto não foi encontrado."
"Unable to update the alert subscription.","Não é possível atualizar a inscrição de alerta."
"Unsubscribe from all price alerts","Cancelar a inscrição de todos os alertas de preço"
"Unsubscribe from all stock alerts","Cancelar a inscrição de todos os alertas de estoque"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os seguintes produtos estão de volta em estoque:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando mudaram os preços para os seguintes produtos:"
"You will no longer receive price alerts for this product.","Você não receberá mais alertas de preço para este produto."
"You will no longer receive stock alerts for this product.","Você não receberá mais alertas de estoque para este produto."
"You will no longer receive stock alerts.","Você não receberá mais alertas de estoque."
