"3D Secure CAVV","3D CAVV seguro"
"3D Secure Card Validation","Validação de cartão seguro 3D"
"3D Secure Cardholder Validation","Validação de cartão seguro 3D"
"3D Secure Electronic Commerce Indicator","Indicador de comércio electrónico seguro 3D"
"3D Secure Verification Result","Resultado da verificação segura 3D"
"3D Secure XID","XID seguro 3D"
"Card Issuer Liability","Responsabilidade do emissor de cartão"
"Card Verification","Verificação do cartão"
Enrolled,Matriculados
"Enrolled but Authentication Unavailable","Matriculou-se mas a autenticação não está disponível"
Failed,Falhou
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Responsabilidade do comerciante"
"Not Enrolled","Não matriculados"
"Order cannot be placed.","Ordem não pode ser colocado."
"Payment information error. Please start over.","Erro de informação de pagamento. Por favor, começa de novo."
"Please continue with placing order.","Por favor, continue com a ordem de colocação."
"Please verify the card with the issuer bank before placing the order.","Por favor, verifique se o cartão com o banco emissor antes de colocar a ordem."
"Please verify the card with the issuer bank:","Por favor, verifique se o cartão com o banco emissor:"
"Start/Reset Validation...","Start/Reset validação..."
Successful,"Bem sucedido"
"Successful attempt","Tentativa bem sucedida"
"The card has failed verification with the issuer bank.","O cartão falhou a verificação com o banco emissor."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Tem havido errado de informações de pagamento enviado ou o tempo limite expirou. Por favor, tente novamente."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Tem havido errado de informações de pagamento apresentadas ou tempo limite expirou. Por favor, tente novamente."
"This card has failed validation and cannot be used.","Este cartão tem falha na validação e não pode ser usado."
"To ensure the security of your transactions","Para garantir a segurança de suas transações"
"Unable to complete","Não é possível concluir"
"Validation failed.","Falha na validação."
"Verification Failed","Verificação falhada"
"Verification Successful","Verificação bem-sucedida"
"Verification cannot be processed","Verificação não pode ser processada"
"Verified by Visa","Verificado por Visa"
