Add,Adicionar
"Add gift message for shopping cart","Adicionar mensagem de presente para o carrinho de compras"
"Add gift messages for quote item of shopping cart","Adicionar mensagens presente para item cotação de carrinho de compras"
"Add gift messages to products of shopping cart","Adicionar mensagens presente para produtos do carrinho de compras"
"Add gift options","Adicionar opções de presente"
"Add gift options for Individual Items","Adicionar opções de presente para itens individuais"
"Add gift options for the Entire Order","Adicionar opções de presente para toda a ordem"
"Add gift options.","Adicione opções de presente."
"Allow Gift Messages for Order Items","Permitir mensagens de dom itens da ordem"
"Allow Gift Messages on Order Level","Permitir mensagens de Dom em nível de ordem"
"An error occurred while saving the gift message.","Ocorreu um erro ao salvar a mensagem de presente."
"Are you sure?","Tem certeza?"
Cancel,Cancelar
"Do you have any gift items in your order?","Tem algum dom itens em sua ordem?"
Edit,Editar
From,De
"Gift Message","Mensagem de Dom"
"Gift Message API","Mensagem de Dom API"
"Gift Options","Opções de presente"
"Gift Options for","Opções de presente para"
"Gift Options for Individual Items","Opções de presente para itens individuais"
"Gift Options for the Entire Order.","Opções de presente para toda a ordem."
"Gift Options for this address.","Opções de presente para este endereço."
"Item %d of %d","Item %d do %d"
Message,Mensagem
No,Não
OK,Razoável
"Save Gift Message","Salvar a mensagem de Dom"
"The gift message has been removed","A mensagem de dom foi removida"
"The gift message has been saved","A mensagem de dom foi salvo"
"The gift message has been saved.","A mensagem de dom foi salvo."
To,Para
"Unknown entity type","Tipo de entidade desconhecida"
"Use config","Usar o config"
Yes,Sim
"You can leave this box blank if you do not wish to add a gift message for the item.","Você pode deixar essa caixa em branco se você não deseja adicionar uma mensagem de presente para o item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Você pode deixar essa caixa em branco se você não deseja adicionar uma mensagem de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Você pode deixar essa caixa em branco se você não deseja adicionar uma mensagem de presente para toda a ordem."
