"%s Item(s)","%s Item (ns)"
"&copy; 2013 Magento Demo Store. All Rights Reserved.","© 2013 Magento Demo Store. Todos os direitos reservados."
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","-Clique em qualquer uma das partes vez de aumentá-la"
"- Hold mouse button on any of the above buttons for faster selection.","-Segure o botão do mouse sobre qualquer um dos botões acima para a seleção mais rápido."
"- Use the %s buttons to select month","-Usar o %s botões para selecionar o mês"
"- Use the %s, %s buttons to select year","-Usar o %s, %s botões para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuí-la"
"- or click and drag for faster selection.","- ou clique e arraste para a seleção mais rápida."
"-- Please Select --","Por favor selecione..."
"1 column","1 coluna"
"2 columns with left bar","2 colunas com bar à esquerda"
"2 columns with right bar","2 colunas com direito bar"
"3 columns","3 colunas"
"About the calendar","Sobre o calendário"
"All Empty Layout Pages","Todas as páginas de Layout vazia"
"All One-Column Layout Pages","Todas as páginas de Layout de uma coluna"
"All Pages","Todas as páginas"
"All Pages (Print Version)","Todas as páginas (versão impressa)"
"All Three-Column Layout Pages","Todas as páginas de Layout de três colunas"
"All Two-Column Layout Pages (Left Column)","Todas as páginas de Layout de duas colunas (coluna esquerda)"
"All Two-Column Layout Pages (Right Column)","Todas as páginas de Layout de duas colunas (coluna direita)"
Allow,Permitir
Breadcrumbs,"Farinha de rosca"
"Click <a href=""%s"">here</a> if nothing has happened","Clique <a href=""%s""> aqui</a> se não tem nada."
Close,Fechar
"Close Window","Fechar janela"
"DHTML Date/Time Selector","Seletor de data/hora DHTML"
"Date selection:","Seleção de data:"
"Default Description","Descrição do padrão"
"Default welcome msg!","Padrão msg de boas-vinda!"
"Display %s first","Exposição %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a GNU LGPL. Ver %s para obter detalhes."
"Drag to move","Arrastar para mover"
Empty,Vazio
"For latest version visit: %s","Para a versão mais recente, visite: %s"
"Free Shipping on orders over 50$","Frete grátis em encomendas acima de 50$"
"Go Today",Hoje
"Help Us to Keep Magento Healthy","Ajude-na manter o Magento saudável"
"Interface Language","Idioma da interface"
"Items %s to %s of %s total","Itens %s a %s do %s total"
"JavaScript seems to be disabled in your browser.","JavaScript parece estar desabilitado em seu navegador."
"Left Column","Coluna esquerda"
"Main Content Area","Área de conteúdo principal"
"Navigation Bar","Barra de navegação"
Next,Próxima
"Next month (hold for menu)","No próximo mês (segure para menu)"
"Next year (hold for menu)","No próximo ano (segure para menu)"
"Page Bottom","Página inferior"
"Page Footer","Rodapé da página"
"Page Header","Cabeçalho da página"
"Page Top","Topo da página"
Page:,Página:
"Prev. month (hold for menu)","Mês Ant. (segure para menu)"
"Prev. year (hold for menu)","Ano Ant. (segure para menu)"
Previous,Anterior
Redirecting...,Redirecionando...
"Report All Bugs","Reportar todos os Bugs"
"Right Column","Coluna direita"
"Select Store","Selecionar armazenamento"
"Select Store:","Selecionar loja:"
"Select date","Selecione a data"
Show,Mostrar
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja demo. Quaisquer pedidos feitos através desta loja não serão honrados ou cumpridos."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Este site requer cookies para fornecer todas as suas características. Para obter mais informações sobre quais os dados que estão contidos em cookies, por favor, veja nossa <a href=""%s""> página de política de privacidade</a>. Para aceitar cookies deste site, por favor clique no botão Allow abaixo."
"Time selection:","Seleção de tempo:"
Time:,Tempo:
"Welcome, %s!","Bem-vindo, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Você deve ter o JavaScript habilitado em seu navegador para utilizar a funcionalidade deste website."
"Your Language","Sua língua"
"Your Language:","Seu idioma:"
"per page","por página"
