"%d Review(s)","%d Revisões"
"%s Review(s)","%s Análises"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'""> %2$ s %3$ s</a> <a href=""mailto:%4$s""> (recorte$ s)</a>"
"Add New Review","Adicionar um novo"
"Add Your Review","Adicione seu comentário"
Administrator,Administrador
"All Reviews","Todos os comentários"
"All Reviews of Customer `%s`","Todos os comentários do cliente ' %s'"
"All Reviews of Product `%s`","Todos os clientes do produto ' %s'"
"Allow Guests to Write Reviews","Permitir que os convidados a escrever comentários"
Approved,Aprovado
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Are you sure?","Tem certeza?"
"Average Customer Rating","Avaliação média do cliente"
"Average Customer Rating:","Avaliação média do cliente:"
Back,Voltar
"Back to Main Product Info","Para informações sobre o produto principal"
"Back to My Reviews","Voltar para meus comentários"
"Back to Product Reviews","Voltar para análises de produtos"
"Be the first to review this product","Seja o primeiro a rever este produto"
"Catalog Product Review View","Catálogo de produto revisão vista"
"Catalog Product Reviews List","Lista de clientes de produtos catálogo"
"Created On","Criado na"
Customer,Cliente
"Customer My Account Product Reviews","Resenhas de clientes produto minha conta"
"Customer My Account Review Details","Cliente minhas conta detalhes de revisão"
"Customer Reviews","Opiniões dos clientes"
"Customers Reviews","Comentários de clientes"
Delete,Excluir
"Delete Review","Excluir revisão"
"Detailed Rating","Classificação detalhada"
"Edit Review '%s'","Editar revisão ' %s'"
Guest,Comentários
"How do you rate this product?","Como você avalia este produto?"
ID,ID
"Manage Ratings","Gerenciar avaliações"
"My Product Reviews","Meus comentários do produto"
"My Recent Reviews","Meus comentários recentes"
Name,Nome
"Name in Store","Nome na loja"
"New Review","Nova revisão"
Nickname,Alcunha
"Nickname can\'t be empty","Alcunha can\ ' t ser vazio"
"Not Approved","Não aprovado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Apenas usuários cadastrados podem escrever comentários. Por favor, <a href=""%s""> faça login</a> ou <a href=""%s""> Registre-se</a>"
Pending,Pendente
"Pending Reviews","Comentários pendentes"
"Pending Reviews of Customer `%s`","Pendentes de clientes de cliente ' %s'"
"Please select a product","Por favor, selecione um produto"
"Please select one of each of the ratings above","Por favor, selecione um de cada uma das classificações acima"
"Posted By","Postado por"
Price,Preço
Product,Produto
"Product Name","Nome do produto"
"Product Rating","Classificação do produto"
"Product Rating:","Classificação do produto:"
"Product Review (submitted on %s):","Revisão do produto (enviado em %s):"
"Product Reviews","Comentários do produto"
"Product SKU","Produto SKU"
"Products Reviews","Comentários de produtos"
Qty,Qty
Rating:,Classificação:
Review,Revisão
"Review (submitted on %s):","Revisão (enviado em %s):"
"Review Details","Detalhes de revisão"
"Review Form Fields Before","Campos de formulário revisão antes"
"Review by <span>%s</span>","Revisão por <span>%s</span>"
"Review can\'t be empty","Revisão can\ ' t ser vazio"
"Review summary can\'t be empty","Revisão Resumo can\ ' t ser vazio"
"Reviews and Ratings","Comentários e classificações"
SKU,SKU
"Save Review","Salvar revisão"
Status,Status
"Submit Review","Enviar comentário"
"Summary Rating","Avaliação sumária"
"Summary of Review","Resumo de revisão"
"Summary of Your Review","Resumo de seu comentário"
Title,Título
Type,Tipo
"Unable to post the review.","Não é possível postar o comentário."
"Update Status","Status de atualização"
"View All Reviews","Ver todas as revisões"
"View Details","Exibir detalhes"
"Visible In","Visível em"
Websites,Websites
"Write Your Own Review","Escreva seu próprio comentário"
"You have submitted no reviews.","Você se submeteu sem comentários."
"You're reviewing:","Está a analisar:"
"Your Rating:","Sua classificação:"
"Your Review (submitted on %s):","Seu comentário (enviado em %s):"
"Your review has been accepted for moderation.","Seu comentário foi aceite para moderação."
