"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenção</strong>: Captcha é diferencia maiúsculas de minúsculas."
"After number of attempts to login","Após o número de tentativas de login"
Always,Sempre
CAPTCHA,CAPTCHA
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutos)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA para ""Criar utilizador"" e ""Esqueci a senha"" formulários está sempre habilitado se escolhido"
"Case Sensitive","Maiúsculas e minúsculas"
"Displaying Mode","Modo de exibição"
"Enable CAPTCHA in Admin","Habilitar o CAPTCHA no Admin"
"Enable CAPTCHA on Frontend","Habilitar o CAPTCHA no Frontend"
Font,Fonte
Forms,Formulários
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se 0 for especificado, CAPTCHA no formulário de Login estará sempre disponível."
"Incorrect CAPTCHA.","CAPTCHA incorreto."
"Number of Symbols","Número de símbolos"
"Number of Unsuccessful Attempts to Login","Número de tentativas de Login"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Por favor especifique 8 símbolos no máximo. Intervalo permitido (ex: 3-5)"
"Please type the letters below","Por favor digite as letras abaixo"
"Please type the letters from the image:","Por favor digite as letras da imagem:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Por favor, use somente letras (a-z ou A-Z) ou números (0-9) neste campo. Sem espaços ou outros caracteres são permitidos. < br / > semelhantes procurando caracteres (por exemplo, ""i"", ""l"", ""1"") diminuem a chance de reconhecimento correto pelo cliente."
"Reload captcha","Reload captcha"
"Symbols Used in CAPTCHA","Símbolos usados em CAPTCHA"
